Категория *;Название *;Slug;H1;Title (SEO);Description (SEO);Толщина (мм);Ширина (мм);Состояние;Поверхность;Цена за кг (?) *;Срок поставки;Изображение
310S;Лента нержавеющая 0.80x1250 мм AISI 310S высоконагартованная BA;lenta-nerzhaveyuschaya-0-80x1250-mm-aisi-310s-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,8;1250;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-80x1250-mm-aisi-310s-vysokonagartovannaya-ba.jpg
310S;Лента нержавеющая 0.10x45 мм AISI 310S мягкая BA;lenta-nerzhaveyuschaya-0-10x45-mm-aisi-310s-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,1;45;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-10x45-mm-aisi-310s-myagkaya-ba.jpg
310S;Лента нержавеющая 0.10x370 мм AISI 310S нагартованная 2B;lenta-nerzhaveyuschaya-0-10x370-mm-aisi-310s-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,1;370;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-10x370-mm-aisi-310s-nagartovannaya-2b.jpg
310S;Лента нержавеющая 0.30x90 мм AISI 310S нагартованная 2BA;lenta-nerzhaveyuschaya-0-30x90-mm-aisi-310s-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,3;90;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-30x90-mm-aisi-310s-nagartovannaya-2ba.jpg
310S;Лента нержавеющая 0.18x120 мм AISI 310S нагартованная 2BA;lenta-nerzhaveyuschaya-0-18x120-mm-aisi-310s-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,18;120;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-18x120-mm-aisi-310s-nagartovannaya-2ba.jpg
310S;Лента нержавеющая 0.25x20 мм AISI 310S высоконагартованная 2B;lenta-nerzhaveyuschaya-0-25x20-mm-aisi-310s-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,25;20;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-25x20-mm-aisi-310s-vysokonagartovannaya-2b.jpg
310S;Лента нержавеющая 0.50x130 мм AISI 310S мягкая 2B;lenta-nerzhaveyuschaya-0-50x130-mm-aisi-310s-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,5;130;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-50x130-mm-aisi-310s-myagkaya-2b.jpg
310S;Лента нержавеющая 0.35x45 мм AISI 310S нагартованная 2BA;lenta-nerzhaveyuschaya-0-35x45-mm-aisi-310s-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,35;45;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-35x45-mm-aisi-310s-nagartovannaya-2ba.jpg
310S;Лента нержавеющая 0.15x240 мм AISI 310S высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-15x240-mm-aisi-310s-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,15;240;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-15x240-mm-aisi-310s-vysokonagartovannaya-2ba.jpg
310S;Лента нержавеющая 0.50x370 мм AISI 310S мягкая 2B;lenta-nerzhaveyuschaya-0-50x370-mm-aisi-310s-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,5;370;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-50x370-mm-aisi-310s-myagkaya-2b.jpg
310S;Лента нержавеющая 0.08x50 мм AISI 310S мягкая 2BA;lenta-nerzhaveyuschaya-0-08x50-mm-aisi-310s-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,08;50;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-08x50-mm-aisi-310s-myagkaya-2ba.jpg
310S;Лента нержавеющая 4.00x370 мм AISI 310S нагартованная 2B;lenta-nerzhaveyuschaya-4-00x370-mm-aisi-310s-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;4;370;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-4-00x370-mm-aisi-310s-nagartovannaya-2b.jpg
310S;Лента нержавеющая 0.12x15 мм AISI 310S нагартованная BA;lenta-nerzhaveyuschaya-0-12x15-mm-aisi-310s-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,12;15;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-12x15-mm-aisi-310s-nagartovannaya-ba.jpg
310S;Лента нержавеющая 3.50x15 мм AISI 310S мягкая BA;lenta-nerzhaveyuschaya-3-50x15-mm-aisi-310s-myagkaya-ba;сам впишу;сам впишу;сам впишу;3,5;15;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-3-50x15-mm-aisi-310s-myagkaya-ba.jpg
310S;Лента нержавеющая 1.80x35 мм AISI 310S высоконагартованная BA;lenta-nerzhaveyuschaya-1-80x35-mm-aisi-310s-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;1,8;35;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-1-80x35-mm-aisi-310s-vysokonagartovannaya-ba.jpg
310S;Лента нержавеющая 0.50x50 мм AISI 310S мягкая 2B;lenta-nerzhaveyuschaya-0-50x50-mm-aisi-310s-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,5;50;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-50x50-mm-aisi-310s-myagkaya-2b.jpg
310S;Лента нержавеющая 3.50x220 мм AISI 310S мягкая 2B;lenta-nerzhaveyuschaya-3-50x220-mm-aisi-310s-myagkaya-2b;сам впишу;сам впишу;сам впишу;3,5;220;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-3-50x220-mm-aisi-310s-myagkaya-2b.jpg
310S;Лента нержавеющая 2.50x220 мм AISI 310S высоконагартованная 2BA;lenta-nerzhaveyuschaya-2-50x220-mm-aisi-310s-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;2,5;220;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-2-50x220-mm-aisi-310s-vysokonagartovannaya-2ba.jpg
310S;Лента нержавеющая 3.50x60 мм AISI 310S мягкая 2BA;lenta-nerzhaveyuschaya-3-50x60-mm-aisi-310s-myagkaya-2ba;сам впишу;сам впишу;сам впишу;3,5;60;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-3-50x60-mm-aisi-310s-myagkaya-2ba.jpg
310S;Лента нержавеющая 0.45x15 мм AISI 310S мягкая BA;lenta-nerzhaveyuschaya-0-45x15-mm-aisi-310s-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,45;15;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-45x15-mm-aisi-310s-myagkaya-ba.jpg
310S;Лента нержавеющая 0.18x250 мм AISI 310S нагартованная BA;lenta-nerzhaveyuschaya-0-18x250-mm-aisi-310s-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,18;250;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-18x250-mm-aisi-310s-nagartovannaya-ba.jpg
310S;Лента нержавеющая 4.00x100 мм AISI 310S мягкая 2B;lenta-nerzhaveyuschaya-4-00x100-mm-aisi-310s-myagkaya-2b;сам впишу;сам впишу;сам впишу;4;100;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-4-00x100-mm-aisi-310s-myagkaya-2b.jpg
310S;Лента нержавеющая 1.80x170 мм AISI 310S мягкая BA;lenta-nerzhaveyuschaya-1-80x170-mm-aisi-310s-myagkaya-ba;сам впишу;сам впишу;сам впишу;1,8;170;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-1-80x170-mm-aisi-310s-myagkaya-ba.jpg
310S;Лента нержавеющая 3.00x300 мм AISI 310S высоконагартованная BA;lenta-nerzhaveyuschaya-3-00x300-mm-aisi-310s-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;3;300;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-3-00x300-mm-aisi-310s-vysokonagartovannaya-ba.jpg
310S;Лента нержавеющая 4.00x12 мм AISI 310S нагартованная 2B;lenta-nerzhaveyuschaya-4-00x12-mm-aisi-310s-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;4;12;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-4-00x12-mm-aisi-310s-nagartovannaya-2b.jpg
310S;Лента нержавеющая 0.15x400 мм AISI 310S мягкая BA;lenta-nerzhaveyuschaya-0-15x400-mm-aisi-310s-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,15;400;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-15x400-mm-aisi-310s-myagkaya-ba.jpg
310S;Лента нержавеющая 0.10x230 мм AISI 310S высоконагартованная BA;lenta-nerzhaveyuschaya-0-10x230-mm-aisi-310s-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,1;230;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-10x230-mm-aisi-310s-vysokonagartovannaya-ba.jpg
310S;Лента нержавеющая 3.50x300 мм AISI 310S нагартованная 2B;lenta-nerzhaveyuschaya-3-50x300-mm-aisi-310s-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;3,5;300;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-3-50x300-mm-aisi-310s-nagartovannaya-2b.jpg
310S;Лента нержавеющая 1.00x15 мм AISI 310S нагартованная 2BA;lenta-nerzhaveyuschaya-1-00x15-mm-aisi-310s-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1;15;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-00x15-mm-aisi-310s-nagartovannaya-2ba.jpg
310S;Лента нержавеющая 0.05x320 мм AISI 310S высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-05x320-mm-aisi-310s-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,05;320;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-05x320-mm-aisi-310s-vysokonagartovannaya-2ba.jpg
310S;Лента нержавеющая 2.50x80 мм AISI 310S нагартованная BA;lenta-nerzhaveyuschaya-2-50x80-mm-aisi-310s-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;2,5;80;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-2-50x80-mm-aisi-310s-nagartovannaya-ba.jpg
310S;Лента нержавеющая 0.08x170 мм AISI 310S нагартованная 2BA;lenta-nerzhaveyuschaya-0-08x170-mm-aisi-310s-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,08;170;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-08x170-mm-aisi-310s-nagartovannaya-2ba.jpg
310S;Лента нержавеющая 1.80x150 мм AISI 310S нагартованная 2BA;lenta-nerzhaveyuschaya-1-80x150-mm-aisi-310s-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1,8;150;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-80x150-mm-aisi-310s-nagartovannaya-2ba.jpg
310S;Лента нержавеющая 1.80x210 мм AISI 310S нагартованная 2BA;lenta-nerzhaveyuschaya-1-80x210-mm-aisi-310s-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1,8;210;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-80x210-mm-aisi-310s-nagartovannaya-2ba.jpg
310S;Лента нержавеющая 0.90x220 мм AISI 310S нагартованная 2BA;lenta-nerzhaveyuschaya-0-90x220-mm-aisi-310s-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,9;220;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-90x220-mm-aisi-310s-nagartovannaya-2ba.jpg
310S;Лента нержавеющая 1.80x70 мм AISI 310S высоконагартованная 2BA;lenta-nerzhaveyuschaya-1-80x70-mm-aisi-310s-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1,8;70;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-80x70-mm-aisi-310s-vysokonagartovannaya-2ba.jpg
310S;Лента нержавеющая 0.30x210 мм AISI 310S мягкая 2BA;lenta-nerzhaveyuschaya-0-30x210-mm-aisi-310s-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,3;210;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-30x210-mm-aisi-310s-myagkaya-2ba.jpg
316;Лента нержавеющая 0.30x140 мм AISI 316 нагартованная 2B;lenta-nerzhaveyuschaya-0-30x140-mm-aisi-316-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,3;140;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-30x140-mm-aisi-316-nagartovannaya-2b.jpg
316;Лента нержавеющая 3.50x160 мм AISI 316 нагартованная BA;lenta-nerzhaveyuschaya-3-50x160-mm-aisi-316-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;3,5;160;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-3-50x160-mm-aisi-316-nagartovannaya-ba.jpg
316;Лента нержавеющая 0.60x90 мм AISI 316 нагартованная 2BA;lenta-nerzhaveyuschaya-0-60x90-mm-aisi-316-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,6;90;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-60x90-mm-aisi-316-nagartovannaya-2ba.jpg
316;Лента нержавеющая 3.50x60 мм AISI 316 мягкая 2BA;lenta-nerzhaveyuschaya-3-50x60-mm-aisi-316-myagkaya-2ba;сам впишу;сам впишу;сам впишу;3,5;60;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-3-50x60-mm-aisi-316-myagkaya-2ba.jpg
316;Лента нержавеющая 0.30x300 мм AISI 316 высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-30x300-mm-aisi-316-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,3;300;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-30x300-mm-aisi-316-vysokonagartovannaya-2ba.jpg
316;Лента нержавеющая 1.20x110 мм AISI 316 нагартованная 2BA;lenta-nerzhaveyuschaya-1-20x110-mm-aisi-316-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;1,2;110;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-1-20x110-mm-aisi-316-nagartovannaya-2ba.jpg
316;Лента нержавеющая 0.20x80 мм AISI 316 мягкая 2B;lenta-nerzhaveyuschaya-0-20x80-mm-aisi-316-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,2;80;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-20x80-mm-aisi-316-myagkaya-2b.jpg
316;Лента нержавеющая 0.06x110 мм AISI 316 высоконагартованная BA;lenta-nerzhaveyuschaya-0-06x110-mm-aisi-316-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,06;110;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-06x110-mm-aisi-316-vysokonagartovannaya-ba.jpg
316;Лента нержавеющая 3.00x1219 мм AISI 316 высоконагартованная 2BA;lenta-nerzhaveyuschaya-3-00x1219-mm-aisi-316-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;3;1219;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-3-00x1219-mm-aisi-316-vysokonagartovannaya-2ba.jpg
316;Лента нержавеющая 0.18x200 мм AISI 316 нагартованная BA;lenta-nerzhaveyuschaya-0-18x200-mm-aisi-316-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,18;200;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-18x200-mm-aisi-316-nagartovannaya-ba.jpg
316;Лента нержавеющая 0.20x50 мм AISI 316 высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-20x50-mm-aisi-316-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,2;50;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-20x50-mm-aisi-316-vysokonagartovannaya-2ba.jpg
316;Лента нержавеющая 0.05x35 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-0-05x35-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,05;35;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-05x35-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 0.15x320 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-0-15x320-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,15;320;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-15x320-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 0.90x40 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-0-90x40-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,9;40;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-90x40-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 3.50x320 мм AISI 316 высоконагартованная 2BA;lenta-nerzhaveyuschaya-3-50x320-mm-aisi-316-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;3,5;320;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-3-50x320-mm-aisi-316-vysokonagartovannaya-2ba.jpg
316;Лента нержавеющая 0.35x240 мм AISI 316 высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-35x240-mm-aisi-316-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,35;240;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-35x240-mm-aisi-316-vysokonagartovannaya-2ba.jpg
316;Лента нержавеющая 0.80x370 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-0-80x370-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,8;370;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-80x370-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 2.50x240 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-2-50x240-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;2,5;240;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-2-50x240-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 4.00x320 мм AISI 316 высоконагартованная BA;lenta-nerzhaveyuschaya-4-00x320-mm-aisi-316-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;4;320;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-4-00x320-mm-aisi-316-vysokonagartovannaya-ba.jpg
316;Лента нержавеющая 0.20x130 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-0-20x130-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,2;130;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-20x130-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 2.00x130 мм AISI 316 нагартованная BA;lenta-nerzhaveyuschaya-2-00x130-mm-aisi-316-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;2;130;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-2-00x130-mm-aisi-316-nagartovannaya-ba.jpg
316;Лента нержавеющая 0.90x50 мм AISI 316 нагартованная 2B;lenta-nerzhaveyuschaya-0-90x50-mm-aisi-316-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,9;50;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-90x50-mm-aisi-316-nagartovannaya-2b.jpg
316;Лента нержавеющая 2.00x90 мм AISI 316 нагартованная 2B;lenta-nerzhaveyuschaya-2-00x90-mm-aisi-316-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;2;90;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-2-00x90-mm-aisi-316-nagartovannaya-2b.jpg
316;Лента нержавеющая 0.50x170 мм AISI 316 нагартованная 2BA;lenta-nerzhaveyuschaya-0-50x170-mm-aisi-316-nagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,5;170;Нагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-50x170-mm-aisi-316-nagartovannaya-2ba.jpg
316;Лента нержавеющая 0.50x20 мм AISI 316 нагартованная 2B;lenta-nerzhaveyuschaya-0-50x20-mm-aisi-316-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,5;20;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-50x20-mm-aisi-316-nagartovannaya-2b.jpg
316;Лента нержавеющая 0.45x400 мм AISI 316 мягкая 2BA;lenta-nerzhaveyuschaya-0-45x400-mm-aisi-316-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,45;400;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-45x400-mm-aisi-316-myagkaya-2ba.jpg
316;Лента нержавеющая 3.00x260 мм AISI 316 нагартованная 2B;lenta-nerzhaveyuschaya-3-00x260-mm-aisi-316-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;3;260;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-3-00x260-mm-aisi-316-nagartovannaya-2b.jpg
316;Лента нержавеющая 0.30x200 мм AISI 316 высоконагартованная BA;lenta-nerzhaveyuschaya-0-30x200-mm-aisi-316-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,3;200;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-30x200-mm-aisi-316-vysokonagartovannaya-ba.jpg
316;Лента нержавеющая 2.50x100 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-2-50x100-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;2,5;100;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-2-50x100-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 0.25x230 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-0-25x230-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,25;230;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-25x230-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 0.45x170 мм AISI 316 высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-45x170-mm-aisi-316-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,45;170;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-45x170-mm-aisi-316-vysokonagartovannaya-2ba.jpg
316;Лента нержавеющая 4.00x45 мм AISI 316 высоконагартованная 2BA;lenta-nerzhaveyuschaya-4-00x45-mm-aisi-316-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;4;45;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-4-00x45-mm-aisi-316-vysokonagartovannaya-2ba.jpg
316;Лента нержавеющая 0.05x210 мм AISI 316 высоконагартованная 2BA;lenta-nerzhaveyuschaya-0-05x210-mm-aisi-316-vysokonagartovannaya-2ba;сам впишу;сам впишу;сам впишу;0,05;210;Высоконагартованная;2BA;;В наличии;lenta-nerzhaveyuschaya-0-05x210-mm-aisi-316-vysokonagartovannaya-2ba.jpg
316;Лента нержавеющая 1.80x1219 мм AISI 316 нагартованная 2B;lenta-nerzhaveyuschaya-1-80x1219-mm-aisi-316-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;1,8;1219;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-1-80x1219-mm-aisi-316-nagartovannaya-2b.jpg
316;Лента нержавеющая 0.15x20 мм AISI 316 нагартованная BA;lenta-nerzhaveyuschaya-0-15x20-mm-aisi-316-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,15;20;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-15x20-mm-aisi-316-nagartovannaya-ba.jpg
316;Лента нержавеющая 0.35x90 мм AISI 316 нагартованная BA;lenta-nerzhaveyuschaya-0-35x90-mm-aisi-316-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,35;90;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-35x90-mm-aisi-316-nagartovannaya-ba.jpg
316;Лента нержавеющая 0.35x200 мм AISI 316 нагартованная BA;lenta-nerzhaveyuschaya-0-35x200-mm-aisi-316-nagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,35;200;Нагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-35x200-mm-aisi-316-nagartovannaya-ba.jpg
316;Лента нержавеющая 0.25x30 мм AISI 316 мягкая BA;lenta-nerzhaveyuschaya-0-25x30-mm-aisi-316-myagkaya-ba;сам впишу;сам впишу;сам впишу;0,25;30;Мягкая;BA;;В наличии;lenta-nerzhaveyuschaya-0-25x30-mm-aisi-316-myagkaya-ba.jpg
316;Лента нержавеющая 2.50x180 мм AISI 316 высоконагартованная 2B;lenta-nerzhaveyuschaya-2-50x180-mm-aisi-316-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;2,5;180;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-2-50x180-mm-aisi-316-vysokonagartovannaya-2b.jpg
316;Лента нержавеющая 0.08x15 мм AISI 316 мягкая 2B;lenta-nerzhaveyuschaya-0-08x15-mm-aisi-316-myagkaya-2b;сам впишу;сам впишу;сам впишу;0,08;15;Мягкая;2B;;В наличии;lenta-nerzhaveyuschaya-0-08x15-mm-aisi-316-myagkaya-2b.jpg
316TI;Лента нержавеющая 0.18x12 мм AISI 316TI мягкая 2BA;lenta-nerzhaveyuschaya-0-18x12-mm-aisi-316ti-myagkaya-2ba;сам впишу;сам впишу;сам впишу;0,18;12;Мягкая;2BA;;В наличии;lenta-nerzhaveyuschaya-0-18x12-mm-aisi-316ti-myagkaya-2ba.jpg
316TI;Лента нержавеющая 0.20x45 мм AISI 316TI высоконагартованная BA;lenta-nerzhaveyuschaya-0-20x45-mm-aisi-316ti-vysokonagartovannaya-ba;сам впишу;сам впишу;сам впишу;0,2;45;Высоконагартованная;BA;;В наличии;lenta-nerzhaveyuschaya-0-20x45-mm-aisi-316ti-vysokonagartovannaya-ba.jpg
316TI;Лента нержавеющая 0.10x380 мм AISI 316TI нагартованная 2B;lenta-nerzhaveyuschaya-0-10x380-mm-aisi-316ti-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,1;380;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-10x380-mm-aisi-316ti-nagartovannaya-2b.jpg
316TI;Лента нержавеющая 2.00x190 мм AISI 316TI высоконагартованная 2B;lenta-nerzhaveyuschaya-2-00x190-mm-aisi-316ti-vysokonagartovannaya-2b;сам впишу;сам впишу;сам впишу;2;190;Высоконагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-2-00x190-mm-aisi-316ti-vysokonagartovannaya-2b.jpg
316TI;Лента нержавеющая 1.20x40 мм AISI 316TI нагартованная 2B;lenta-nerzhaveyuschaya-1-20x40-mm-aisi-316ti-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;1,2;40;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-1-20x40-mm-aisi-316ti-nagartovannaya-2b.jpg
316TI;Лента нержавеющая 0.10x400 мм AISI 316TI нагартованная 2B;lenta-nerzhaveyuschaya-0-10x400-mm-aisi-316ti-nagartovannaya-2b;сам впишу;сам впишу;сам впишу;0,1;400;Нагартованная;2B;;В наличии;lenta-nerzhaveyuschaya-0-10x400-mm-aisi-316ti-nagartovannaya-2b.jpg
